R,I
0.009614004,9.695875523
0.010597299,9.663704831
0.012178975,9.617931776
0.013996721,9.572375528
0.015974272,9.529296977
0.018487055,9.307068266
0.021247307,8.924525512
0.024934008,8.712262989
0.028656157,8.511108215
0.03293395,8.314597843
0.037851229,7.972847996
0.04290171,7.648775545
0.04930842,7.1991505
0.056671873,6.77595618
0.065141131,5.920090219
0.072315071,5.275752977
0.078076301,4.706011379
0.083716195,4.045375051
0.088525521,3.414977974
0.093613355,2.829659131
0.097626018,2.345775975
0.101112184,1.83947269
0.103999425,1.416186183
0.107713182,1.110521992
0.11234089,0.854570655
0.117161856,0.682550183
0.123042573,0.545027106
0.130120386,0.435109451
0.138575671,0.328418138
0.146550477,0.257350283
0.153913608,0.197989594
0.163899423,0.160991365
0.173348031,0.117103128
0.185892007,0.091719107
0.19656646,0.078880895
0.232233893,0.091024997
0.257742311,0.09954712
0.292084268,0.108789613
0.328723276,0.114573311
0.393876767,0.116007431
0.455834304,0.11330207
0.516692969,0.102793956
0.610665499,0.089724887
0.711741601,0.07982655
0.812416967,0.071070782
0.92735481,0.062108627
1.058528518,0.055296248
1.183305448,0.049266158
1.332023672,0.043883234
1.52047361,0.038349478
1.723554628,0.033521496
1.980988001,0.030969189
2.341331925,0.026533361
2.617322798,0.023639882
2.987541331,0.021046944
3.434092219,0.018049446
3.892764399,0.015777123
4.412594062,0.014049946
5.001959171,0.012281137
5.709618439,0.010732463
6.427052615,0.009739401
7.13468936,0.008842423
8.201313439,0.00744326
9.361383656,0.006626847
10.03665648,0.006136834
