R,P
0.04366741,859.2681979
0.044125178,765.9247822
0.045606675,662.6322928
0.045516173,527.1593806
0.045902052,373.8252773
0.046302698,272.7794953
0.046718439,204.8194102
0.048203151,145.0585262
0.049759751,108.7797546
0.051956674,81.52214551
0.056127767,59.25908365
0.062003936,40.63001867
0.070008401,24.81528158
0.078167914,15.60576322
0.088324853,10.38499271
0.099677734,5.99026061
0.103049985,5.332716849
0.107786883,4.881916832
0.11406492,4.595907434
0.123467085,4.199342154
0.141463471,3.71696506
0.165828116,3.285799962
0.198831382,2.819180313
0.23307666,2.492157557
0.270184298,2.268411065
0.324037077,2.002718101
0.406588527,1.66562056
0.50437687,1.386148027
0.618271413,1.090153799
0.724218343,0.884486925
0.838894483,0.73890513
0.993688421,0.582235534
1.231456104,0.43218224
1.45868604,0.340546907
1.689241763,0.276476277
1.956238461,0.224459921
2.291459298,0.18211363
2.714282449,0.14350019
3.401545479,0.103449183
4.169656566,0.081358929
4.995782792,0.064067527
6.551766947,0.044769997
8.212729488,0.033210697
10.18290971,0.026102305
